symbol,shorten,backup
BTC-USDT-SWAP,BTC,BTCUSD
ETH-USDT-SWAP,ETH,ETHUSD
LTC-USDT-SWAP,LTC,LTCUSD
DOT-USDT-SWAP,DOT,DOTUSD
DOGE-USDT-SWAP,DOGE,DOGEUSD
AVAX-USDT-SWAP,AVAX,AVAXUSD
SOL-USDT-SWAP,SOL,SOLUSD
1INCH-USDT-SWAP,1INCH,1INCHUSD
ADA-USDT-SWAP,ADA,ADAUSD
ALGO-USDT-SWAP,ALGO,ALGOUSD
SHIB-USDT-SWAP,SHIB,SHIBUSD
LUNA-USDT-SWAP,LUNA,LUNAUSD
GALA-USDT-SWAP,GALA,GALAUSD
UMEE-USDT-SWAP,UMEE,UMEEUSD
AAVE-USDT-SWAP,AAVE,AAVEUSD
ADA-USDT-SWAP,ADA,ADAUSD
AGLD-USDT-SWAP,AGLD,AGLDUSD
ALGO-USDT-SWAP,ALGO,ALGOUSD
ALPHA-USDT-SWAP,ALPHA,ALPHAUSD
XRP-USDT-SWAP,XRP,XRPUSD
UNI-USDT-SWAP,UNI,UNIUSD
SAND-USDT-SWAP,SAND,SANDUSD
PEOPLE-USDT-SWAP,PEOPLE,PEOPLEUSD
MANA-USDT-SWAP,MANA,MANAUSD
FIL-USDT-SWAP,FIL,FILUSD
AXS-USDT-SWAP,AXS,AXSUSD
